F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000  1501  1216  0  80   0 - 84535 poll_s tty2     00:00:00 gsd-clipboard
0 S  1000  1503  1216  0  80   0 - 116065 poll_s tty2    00:00:00 gsd-datetime
0 S  1000  1507  1216  0  80   0 - 89743 poll_s tty2     00:00:00 gsd-housekeepin
0 S  1000  1508  1216  0  80   0 - 165612 poll_s tty2    00:00:00 gsd-color
0 S  1000  1510  1216  0  80   0 - 335145 poll_s tty2    00:00:00 gsd-media-keys
0 S  1000  1512  1216  0  80   0 - 68169 poll_s tty2     00:00:00 gsd-mouse
0 S  1000  1514  1216  0  80   0 - 125253 poll_s tty2    00:00:00 gsd-keyboard
0 S  1000  1532     1  0  80   0 - 125824 poll_s tty2    00:00:00 gsd-printer
0 S  1000  1559  1216  0  80   0 - 241992 poll_s tty2    00:00:02 nautilus-deskto
0 S  1000  1563  1216  0  80   0 - 67983 poll_s tty2     00:00:00 gsd-disk-utilit
0 S  1000  1582  1360  0  80   0 - 90692 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1603  1176  0  80   0 - 221742 poll_s ?       00:00:00 evolution-calen
0 S  1000  1610  1176  0  80   0 - 46976 poll_s ?        00:00:00 dconf-service
0 S  1000  1619  1603  0  80   0 - 282668 poll_s ?       00:00:00 evolution-calen
0 S  1000  1621  1387  0  80   0 - 49844 poll_s tty2     00:00:06 ibus-engine-sim
0 S  1000  1635  1176  0  80   0 - 181811 poll_s ?       00:00:00 evolution-addre
0 S  1000  1648  1635  0  80   0 - 252942 poll_s ?       00:00:00 evolution-addre
0 S  1000  1677  1176  1  80   0 - 204122 poll_s ?       00:00:29 gnome-terminal-
0 S  1000  1686  1677  0  80   0 -  6106 wait   pts/0    00:00:00 bash
0 S  1000  1719  1216  0  80   0 - 146834 poll_s tty2    00:00:00 update-notifier
0 S  1000  1722  1216  0  80   0 - 300829 poll_s tty2    00:00:08 gnome-software
4 S     0  1744     1  0  80   0 - 155427 -     ?        00:00:01 fwupd
0 S  1000  1820  1216  0  80   0 - 199709 poll_s tty2    00:00:00 deja-dup-monito
1 I     0  1945     2  0  80   0 -     0 -      ?        00:00:00 kworker/u4:2-ev
1 I     0  2272     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0-cgr
4 S     0  2278   695  0  80   0 -  6498 -      ?        00:00:00 dhclient
1 I     0  2503     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0-cgr
4 S     0  2504     1  0  80   0 - 25546 -      ?        00:00:00 cupsd
4 S     0  2506     1  0  80   0 - 75885 -      ?        00:00:00 cups-browsed
0 S  1000  2594  1176  0  80   0 - 49752 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  2601  1176  0  80   0 - 106986 poll_s ?       00:00:00 zeitgeist-daemo
0 S  1000  2609  1176  0  80   0 - 81680 poll_s ?        00:00:00 zeitgeist-fts
1 I     0  2860     2  0  80   0 -     0 -      ?        00:00:00 kworker/u4:1-fl
1 I     0  2862     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:2-eve
1 I     0  2933     2  0  80   0 -     0 -      ?        00:00:00 kworker/u4:0
0 S  1000  2966  1686  0  80   0 -  1095 wait   pts/0    00:00:00 a.out
0 R  1000  2967  2966  0  80   0 -  7627 -      pts/0    00:00:00 ps
